ax,ay,az,gx,gy,gz
3.4381,-1.0487,-10.4291,-0.0005,-0.4447,-0.0245
3.3375,-1.075,-10.477,0.0003,-0.4799,-0.0253
3.0239,-1.1301,-10.6734,-0.0197,-0.4892,-0.0195
2.9616,-1.142,-10.726,-0.0187,-0.485,-0.0336
2.7773,-1.075,-10.6422,-0.0085,-0.4493,-0.025
2.6097,-1.1061,-10.5273,0.004,-0.4082,-0.0168
2.6839,-1.1971,-10.4052,0.0163,-0.3477,-0.0232
2.7653,-1.3216,-10.2879,0.0264,-0.2723,-0.025
2.7605,-1.391,-10.2975,0.0226,-0.2185,-0.0221
2.8491,-1.3958,-10.1897,0.0192,-0.1785,-0.0208
3.0478,-1.506,-10.058,0.0128,-0.1487,-0.0171
3.2441,-1.4748,-10.0485,0.0032,-0.1239,-0.0128
3.4285,-1.494,-9.991,-0.004,-0.1061,-0.0091
3.474,-1.5012,-10.1418,0.0008,-0.1002,0.0093
3.5314,-1.5131,-10.07,0.0048,-0.1274,0.0213
3.5458,-1.4557,-9.9742,-0.0048,-0.1841,0.0211
3.6152,-1.4389,-9.9766,-0.0221,-0.267,0.0181
3.699,-1.3886,-9.8282,-0.0477,-0.3701,0.0109
3.7206,-1.3575,-9.8928,-0.0557,-0.4938,0.0128
3.7086,-1.336,-9.9719,-0.0549,-0.6217,0.0155
3.6464,-1.312,-10.0245,-0.0496,-0.7317,0.0208
3.3806,-1.2594,-10.1562,-0.0517,-0.817,0.0237
3.2082,-1.2905,-10.0796,-0.0562,-0.8964,0.0261
3.0622,-1.2689,-10.2472,-0.0528,-0.9603,0.0229
3.0813,-1.2881,-10.228,-0.0514,-1.0219,0.0181
3.0598,-1.1899,-10.2568,-0.0498,-1.0752,0.016
2.9592,-1.2115,-10.331,-0.0378,-1.1191,0.0128
2.6456,-1.1827,-10.3166,-0.0181,-1.1413,0.0061
2.2577,-1.1325,-10.2544,0.0093,-1.1325,0.0203
1.9106,-1.075,-10.2927,0.0413,-1.0837,0.0269
1.5897,-1.0702,-10.228,0.064,-1.0038,0.0354
1.5538,-1.1732,-10.0892,0.0823,-0.9065,0.041
1.5586,-1.221,-9.9431,0.0917,-0.8023,0.0461
1.9465,-1.2905,-9.7851,0.1007,-0.6907,0.0469
2.1021,-1.3671,-9.6151,0.1002,-0.5793,0.0453
2.229,-1.4389,-9.5624,0.0946,-0.5356,0.0501
2.4756,-1.4868,-9.6031,0.0679,-0.5769,0.0634
2.7438,-1.5658,-9.4858,0.0373,-0.6675,0.0536
3.0287,-1.5586,-9.2608,-0.0117,-0.8111,0.0504
3.0837,-1.4988,-9.3015,-0.0576,-0.9963,0.0117
3.2992,-1.4437,-9.3422,-0.0749,-1.2457,-0.0104
3.1412,-1.4102,-9.4308,-0.1207,-1.4362,0.0221
2.7629,-1.4246,-9.6438,-0.1487,-1.6691,0.041
2.5235,-1.324,-9.8617,-0.1556,-1.8764,0.036
2.229,-1.2019,-10.0461,-0.1705,-2.0512,0.0456
1.9106,-1.2067,-10.2592,-0.1812,-2.1906,0.0557
1.5275,-1.1229,-10.3765,-0.1828,-2.2948,0.0597
1.1971,-1.0822,-10.4675,-0.1884,-2.3606,0.0677
0.917,-1.0894,-10.4363,-0.1641,-2.3545,0.0741
0.4717,-1.063,-10.4196,-0.125,-2.2807,0.0821
0.1676,-1.0654,-10.4459,-0.0714,-2.1818,0.0853
0.0575,-1.1372,-10.2137,-0.0325,-2.0685,0.097
0.1365,-1.1396,-10.1227,-0.0266,-1.9366,0.1111
0.4669,-1.233,-10.0413,-0.0528,-1.7962,0.1053
0.5818,-1.2665,-9.7707,-0.0797,-1.611,0.0946
0.5986,-1.2689,-9.845,-0.0866,-1.4834,0.0957
0.5914,-1.2689,-9.8426,-0.0903,-1.4253,0.1098
1.0582,-1.3312,-9.821,-0.0957,-1.4642,0.125
1.233,-1.3048,-9.9335,-0.1098,-1.5151,0.1207
1.2737,-1.3455,-9.979,-0.129,-1.6246,0.0986
1.1372,-1.3001,-10.0365,-0.1548,-1.7355,0.0919
0.8595,-1.2665,-9.9838,-0.162,-1.8487,0.0927
0.6895,-1.1396,-10.173,-0.1575,-1.9854,0.1079
0.5076,-1.0175,-10.0652,-0.1391,-2.0606,0.1167
0.1173,-0.9385,-10.2185,-0.1039,-2.0856,0.1218
-0.1197,-1.0726,-10.094,-0.0549,-2.1218,0.1316
-0.1293,-0.9601,-10.3573,-0.016,-2.1434,0.1412
-0.2179,-1.0391,-10.2496,-0.0442,-2.1682,0.1306
-0.1724,-1.1085,-10.07,-0.0775,-2.2079,0.125
-0.2801,-1.2474,-10.1993,-0.0951,-2.2268,0.0983
-0.6201,-1.3264,-10.477,-0.0933,-2.2412,0.0821
-0.8116,-1.2833,-10.6039,-0.0893,-2.237,0.0895
-0.8643,-1.2761,-9.9982,-0.1146,-2.2247,0.1047
-0.6129,-1.2905,-9.6223,-0.1338,-2.2023,0.1005
-0.747,-1.3192,-10.1658,-0.1396,-2.1703,0.0903
-0.8811,-1.2115,-10.4028,-0.1631,-2.145,0.0858
-1.2953,-1.3048,-10.0844,-0.1897,-2.1117,0.0829
-1.4102,-1.2929,-9.6726,-0.1825,-2.1554,0.0701
-1.2809,-1.1827,-9.5624,-0.1791,-2.1845,0.0762
-1.0918,-1.1516,-9.4379,-0.1852,-2.1445,0.0781
-1.2546,-1.2067,-9.1339,-0.1769,-2.0638,0.0751
-1.6951,-1.0918,-8.7676,-0.1668,-1.9774,0.0775
-2.15,-1.1468,-8.5832,-0.1788,-1.9612,0.0727
-2.6456,-1.0367,-8.4252,-0.2212,-1.9353,0.0434
-3.0406,-0.9242,-8.5952,-0.3107,-1.8927,0.0461
-3.3327,-0.6967,-8.655,-0.3992,-1.8676,0.0861
-2.9473,-0.5842,-8.904,-0.4754,-1.9055,0.1108
