ax,ay,az,gx,gy,gz
-0.3831,-1.1756,-9.5313,-0.1937,-0.0466,-0.1013
-0.7781,-0.905,-9.7109,-0.1695,-0.0562,-0.1026
-0.9385,-0.7805,-9.8689,-0.1436,-0.0693,-0.0879
-0.905,-0.668,-10.0437,-0.1053,-0.0661,-0.0592
-0.8691,-0.6081,-10.2975,-0.0938,-0.0314,-0.0357
-0.8356,-0.6991,-10.3765,-0.1021,0.0075,-0.0274
-0.6129,-0.8595,-10.4483,-0.0965,0.0141,-0.0397
-0.328,-1.0056,-10.5082,-0.0973,0.0317,-0.045
-0.1484,-1.1133,-10.4651,-0.1303,-0.0256,-0.0288
0.2897,-1.5107,-10.0772,-0.2126,-0.1242,-0.0592
0.5195,-1.6185,-9.6151,-0.2265,-0.219,-0.1023
0.1628,-1.2426,-9.5792,-0.2102,-0.3168,-0.1394
-0.3089,-0.8739,-9.9096,-0.1644,-0.4002,-0.1761
-0.5626,-0.7398,-10.1011,-0.089,-0.3824,-0.1772
-0.8499,-0.6871,-9.9934,-0.0266,-0.2739,-0.1676
-1.1588,-0.6704,-9.56,0.0141,-0.1966,-0.1697
-1.5586,-0.5195,-10.7811,0.0418,-0.1311,-0.1919
-1.8028,-0.5962,-11.6119,0.0573,-0.0448,-0.0794
-1.1516,-1.0151,-11.2288,0.0192,-0.0346,-0.0258
-0.395,-1.2833,-10.5704,-0.0871,0.0306,-0.0629
-0.2993,-1.2977,-10.3046,-0.2081,0.1127,-0.125
-0.7638,-0.9361,-10.422,-0.291,0.1324,-0.1767
-1.3934,-0.498,-10.8793,-0.2984,0.1268,-0.1759
-1.7047,-0.2969,-11.0923,-0.2758,0.1332,-0.1492
-1.6568,-0.4238,-10.963,-0.2785,0.1447,-0.1191
-0.9242,-0.7661,-10.0485,-0.3158,0.1943,-0.1042
-0.3807,-1.0223,-9.4475,-0.3195,0.2899,-0.1055
-0.5578,-0.7997,-9.8976,-0.3277,0.3056,-0.1162
-0.6153,-0.5626,-10.4531,-0.3547,0.2606,-0.0999
-0.5315,-0.4669,-10.3525,-0.3635,0.2134,-0.0695
-0.2682,-0.5555,-9.9383,-0.3493,0.1801,-0.0517
0.1963,-0.6536,-9.6343,-0.3,0.1977,-0.0685
0.0192,-0.6177,-9.5433,-0.2334,0.2145,-0.0829
-0.3328,-0.486,-9.6079,-0.1796,0.1689,-0.0701
-0.4788,-0.34,-9.3829,-0.1282,0.1119,-0.0368
-0.3974,-0.3065,-9.0764,-0.0525,0.081,0.0141
-0.2514,-0.1796,-8.8897,0.0634,0.0965,0.048
-0.2059,-0.091,-9.0525,0.1988,0.1282,0.0634
-0.2322,-0.17,-9.347,0.32,0.1239,0.0807
-0.1915,-0.2849,-9.7899,0.4303,0.0879,0.1029
-0.2322,-0.4669,-10.4675,0.5121,0.0338,0.1239
-0.2083,-0.6919,-11.643,0.5529,-0.0445,0.1324
-0.1293,-0.8236,-12.5265,0.5287,-0.1175,0.1378
-0.1413,-0.9864,-12.3589,0.4365,-0.2097,0.1412
-0.2322,-1.0175,-11.5472,0.3158,-0.2758,0.1156
-0.7207,-0.8763,-10.9535,0.2539,-0.2987,0.1039
-1.0774,-0.656,-10.7188,0.2398,-0.3291,0.0981
-1.2881,-0.5411,-11.0947,0.2467,-0.2638,0.1143
-1.4629,-0.3711,-11.3772,0.2793,-0.1364,0.1303
-1.6735,-0.2825,-11.5712,0.304,0.0147,0.1575
-1.719,-0.3567,-11.7603,0.3187,0.1268,0.1903
-1.5993,-0.7159,-11.6215,0.2936,0.2038,0.2289
-0.7901,-1.3838,-10.8026,0.2382,0.2654,0.2673
0.4118,-2.0255,-9.5193,0.2014,0.4069,0.2867
0.9218,-2.0375,-8.6957,0.1945,0.5862,0.2502
0.7542,-1.6735,-8.5186,0.1916,0.7,0.1953
0.2873,-1.1564,-8.8011,0.2462,0.7306,0.1548
-0.067,-0.6488,-9.2488,0.3933,0.7099,0.1503
0.0024,-0.4645,-9.8378,0.586,0.745,0.1548
