ax,ay,az,gx,gy,gz
-11.3964,-0.7661,-3.9049,-0.4018,-4.2935,-0.3019
-11.631,-0.6201,-4.0486,-0.2907,-3.4408,-0.2249
-11.2288,-0.5339,-4.2353,-0.1564,-2.7256,-0.1791
-10.2639,-0.3663,-4.3766,-0.0083,-1.9526,-0.1159
-10.1418,-0.3687,-4.2186,0.1095,-1.2441,-0.0512
-9.7396,-0.3807,-4.1563,0.1966,-0.6483,0.0032
-9.4667,-0.4429,-4.1084,0.2611,-0.101,0.049
-9.335,-0.4094,-4.0869,0.323,0.356,0.0592
-9.1195,-0.4405,-4.027,0.3896,0.6726,0.0565
-8.4396,-0.6057,-4.063,0.4714,0.8236,0.045
-7.3717,-0.5555,-4.1396,0.5582,0.9076,0.0322
-6.869,-0.4884,-4.0294,0.5577,0.8617,0.0389
-5.9999,-0.7925,-4.2904,0.5292,0.643,0.0248
-5.3726,-0.7733,-4.1875,0.4674,0.4066,-0.0085
-5.2648,-0.8571,-4.2329,0.3898,0.1077,-0.0285
-5.4013,-0.7302,-4.0462,0.2907,-0.2249,-0.0282
-5.8921,-0.7302,-3.79,0.1423,-0.5894,-0.0213
-6.3351,-0.8547,-3.6943,0.0035,-0.9124,-0.0171
-7.0174,-0.8906,-3.5793,-0.1151,-1.1562,-0.0229
-7.5992,-0.8691,-3.4907,-0.2118,-1.2825,-0.032
-8.3079,-0.8452,-3.4022,-0.2758,-1.2971,-0.0413
-8.8011,-0.7398,-3.2609,-0.2912,-1.2465,-0.0474
-9.0381,-0.7015,-3.3208,-0.2758,-1.1114,-0.0386
-9.1602,-0.7087,-3.2944,-0.2443,-0.9206,-0.0261
-9.4978,-0.747,-3.2226,-0.2036,-0.712,-0.0306
-9.3829,-0.8906,-3.0981,-0.1529,-0.6241,-0.0525
-8.1499,-0.9984,-3.4046,-0.0807,-0.5404,-0.0725
-7.9535,-0.9864,-3.316,-0.0485,-0.4477,-0.0834
-7.8434,-0.9361,-3.158,-0.0573,-0.4554,-0.1055
-7.7812,-0.8954,-3.146,-0.064,-0.4703,-0.1212
-7.9703,-0.9768,-3.1891,-0.0754,-0.4826,-0.126
-7.9559,-0.9337,-3.1364,-0.0634,-0.5273,-0.1271
-7.944,-0.9697,-3.1077,-0.0581,-0.5644,-0.1156
-8.1068,-0.9553,-3.1699,-0.069,-0.5931,-0.1018
-8.4348,-0.9697,-3.0742,-0.0845,-0.6718,-0.0919
-8.1235,-1.0582,-3.225,-0.0855,-0.7368,-0.0842
-8.1499,-1.0271,-3.1077,-0.0962,-0.74,-0.0669
-8.43,-1.0534,-2.9018,-0.1082,-0.7666,-0.0349
-8.6,-0.9864,-2.7198,-0.1135,-0.7786,-0.0091
-8.7628,-0.9912,-2.6169,-0.1143,-0.7474,0.0168
-9.0237,-0.9888,-2.4373,-0.1055,-0.6933,0.0445
-9.1626,-1.0319,-2.2194,-0.0981,-0.6355,0.0655
-9.2368,-1.0558,-2.1284,-0.0858,-0.5708,0.0834
-9.0884,-1.0391,-2.1165,-0.0711,-0.5092,0.0887
-9.0716,-1.0654,-1.913,-0.0581,-0.429,0.0917
-9.1075,-1.0654,-1.8651,-0.056,-0.3555,0.0898
-9.2799,-1.0391,-1.7047,-0.0541,-0.3043,0.0858
-9.1171,-0.9601,-1.8124,-0.0453,-0.2888,0.0709
-9.0956,-0.9816,-1.8699,-0.0485,-0.2803,0.0512
-8.9615,-0.9936,-1.7573,-0.0488,-0.3288,0.025
-8.8035,-1.0918,-1.834,-0.0378,-0.3597,0.0027
-8.9495,-1.1013,-1.7573,-0.0376,-0.3941,-0.0187
-9.153,-1.1013,-1.6305,-0.0581,-0.445,-0.0381
-9.2129,-1.1085,-1.5778,-0.0863,-0.4818,-0.061
-9.4427,-1.154,-1.5275,-0.1244,-0.5108,-0.0754
-9.3829,-1.1803,-1.4796,-0.1548,-0.5577,-0.0887
-9.4499,-1.2186,-1.5179,-0.1935,-0.5753,-0.1047
-9.5457,-1.1253,-1.3695,-0.2382,-0.595,-0.1188
-9.6678,-1.087,-1.3671,-0.2801,-0.6153,-0.1252
-9.7324,-1.1013,-1.3815,-0.2931,-0.6587,-0.1527
-9.5146,-0.8882,-0.9529,-0.2699,-0.6803,-0.1897
-9.4451,-0.917,-0.6632,-0.3443,-0.672,-0.1588
-9.5648,-1.0127,-0.5746,-0.3917,-0.6936,-0.1628
-9.4308,-1.0774,-0.5243,-0.437,-0.7288,-0.1812
-9.3781,-1.0415,-0.4334,-0.4746,-0.7485,-0.1943
-9.2751,-1.0391,-0.316,-0.5057,-0.8082,-0.206
-9.0788,-1.0774,-0.2322,-0.5217,-0.8705,-0.2201
-9.1459,-1.0439,0.0383,-0.522,-0.9142,-0.2419
-9.2847,-1.1301,0.0742,-0.5327,-0.9691,-0.2606
-9.4403,-1.1301,0.2801,-0.5279,-1.0142,-0.2942
-9.4786,-1.0774,0.5124,-0.5678,-1.0333,-0.3062
-9.742,-1.3288,0.4334,-0.6153,-1.0288,-0.3048
-9.809,-1.3455,0.5938,-0.6547,-1.0376,-0.3174
-9.7779,-1.3479,0.6393,-0.7386,-1.0467,-0.3174
-9.8689,-1.3886,0.3567,-0.7837,-1.0424,-0.3349
-9.7564,-1.2019,0.5052,-0.8015,-1.0315,-0.3597
-9.7683,-1.1396,0.4094,-0.9193,-1.0003,-0.3328
-9.8809,-1.1875,0.0862,-0.9904,-0.9846,-0.3371
-9.7707,-1.1779,-0.0096,-1.0411,-0.9518,-0.3539
-9.7276,-1.1253,0.1652,-1.073,-0.8942,-0.3613
-9.7731,-1.0846,0.5076,-1.096,-0.8591,-0.3653
-9.7492,-1.0678,0.8835,-1.1045,-0.8596,-0.397
-9.7085,-1.0774,1.0654,-1.092,-0.8519,-0.4405
-9.5361,-0.9266,2.0542,-1.0685,-0.8681,-0.4887
-9.4595,-1.1229,2.3128,-1.1586,-0.8617,-0.4668
-9.6558,-1.3695,2.4421,-1.2468,-0.8687,-0.4652
-9.754,-1.312,2.6983,-1.3219,-0.9102,-0.4874
-9.6941,-1.1612,2.8108,-1.4128,-0.9451,-0.49
-9.7707,-1.0391,2.8826,-1.5271,-0.9667,-0.469
-10.0149,-1.1229,2.818,-1.622,-0.9387,-0.453
-11.3102,-1.0175,3.9504,-1.699,-0.9411,-0.4485
-12.5576,-1.5419,3.8427,-1.8679,-0.7997,-0.6747
-13.0484,-1.6137,-1.5514,-1.9079,-0.8458,-0.8306
-7.8865,1.3503,-27.4639,-2.1863,-0.2257,-0.2803
-7.6806,3.0765,-43.4045,-1.6417,0.4213,0.9838
-4.0342,5.8227,-32.9251,-0.5153,0.2401,0.2787
2.2577,3.5362,-18.7634,1.1962,0.1777,-0.5209
-1.3216,-0.7614,-5.7413,2.5055,-0.4676,-0.0376
-7.592,-5.612,0.8236,2.5714,-1.3107,-0.1191
-12.8952,-5.8203,1.6616,1.4029,-1.3923,-0.2321
-14.4275,-4.8004,1.1109,0.1609,-0.9118,-0.0384
-13.5105,-1.5251,0.7422,-0.4069,-0.2534,0.1996
-13.2208,1.2665,0.6967,-0.4549,0.3246,0.2896
-12.4738,2.3439,-0.0383,-0.1623,0.6243,0.1897
-10.331,2.3487,-1.075,0.0858,0.6526,0.113
-8.7245,1.6759,-2.4038,0.1964,0.4948,0.114
-8.102,0.4884,-2.7461,0.2755,0.198,0.0879
-7.3885,-0.6776,-2.0806,0.3115,-0.1148,0.0608
-6.5793,-1.6544,-1.4988,0.2097,-0.3397,0.0714
-6.8139,-2.1237,-1.2713,0.0115,-0.47,0.0642
-7.9224,-2.3032,-1.391,-0.182,-0.5268,0.012
-9.0214,-2.0183,-1.3479,-0.2822,-0.4282,-0.0589
-9.8904,-1.7741,-1.2713,-0.3174,-0.1657,-0.1087
-10.1825,-1.2306,-1.1253,-0.2433,0.1831,-0.1415
-9.9096,-0.9385,-0.668,-0.1199,0.566,-0.1428
-9.4643,-0.8404,-0.4214,-0.0005,0.8841,-0.1375
-9.0597,-0.8619,-0.3376,0.1122,1.0976,-0.1503
-8.7628,-1.154,-0.5004,0.1801,1.1959,-0.1524
-8.6359,-1.6113,-0.7901,0.1812,1.2364,-0.1476
-8.6862,-1.9225,-1.2091,0.1188,1.2303,-0.125
-8.8777,-1.968,-1.6161,0.0211,1.2116,-0.1308
-8.6862,-1.8435,-2.083,-0.0317,1.1485,-0.1175
-8.2887,-1.5395,-2.3415,-0.0597,1.072,-0.1079
-7.8434,-1.2067,-2.636,-0.0541,0.9313,-0.0703
